customer_first_by_month,0,1,2,3,4,5,6,7,8,9,10,11,12
2010-12,100.0,36.6,19.2,14.6,11.2,9.9,8.6,8.0,7.6,7.3,6.2,6.1,5.0
2011-01,100.0,22.1,10.8,4.8,3.8,3.4,2.4,2.2,2.2,1.4,1.4,1.0,
2011-02,100.0,18.7,6.1,4.2,2.6,1.6,1.3,1.3,1.1,1.1,0.5,,
2011-03,100.0,15.0,6.9,3.1,2.2,1.8,1.5,1.1,1.1,0.2,,,
2011-04,100.0,21.3,7.0,2.7,2.0,1.3,1.0,1.0,0.3,,,,
2011-05,100.0,19.0,6.7,4.6,2.8,2.1,1.8,1.4,,,,,
2011-06,100.0,17.4,4.1,3.3,2.5,2.5,1.2,,,,,,
2011-07,100.0,18.1,6.4,2.7,1.1,0.5,,,,,,,
2011-08,100.0,20.7,8.9,4.1,1.8,,,,,,,,
2011-09,100.0,23.4,11.4,4.7,,,,,,,,,
2011-10,100.0,24.0,6.4,,,,,,,,,,
2011-11,100.0,11.1,,,,,,,,,,,
2011-12,100.0,,,,,,,,,,,,
