CustomerID,recency_dist,Recency_level,frequency_buy,Frequency_level,monetary_total,Monetary_level,RFM_customer_type,period_criteria,NES_customer_type
12346,348.0,1,1,1,77183.6,5,At Risk,11.368383199332966,Sleeping Customer
12347,25.0,5,7,3,4310.0,4,Loyal Customers,0.8166941953543797,E0 Main Customer
12348,98.0,1,4,2,1797.24,2,Lost,3.2014412457891686,Sleeping Customer
12349,41.0,3,1,1,1757.55,2,About To Sleep,1.3393784803811826,E0 Main Customer
12350,333.0,1,1,1,334.4,1,Lost,10.878366682120337,Sleeping Customer
12352,59.0,2,8,3,2506.04,3,At Risk,1.927398301036336,E1 Sleepy Customer
12353,227.0,1,1,1,89.0,1,Lost,7.415583293817767,Sleeping Customer
12354,255.0,1,1,1,1079.4,2,Lost,8.330280792614673,Sleeping Customer
12355,237.0,1,1,1,459.4,1,Lost,7.742260971959519,Sleeping Customer
12356,45.0,3,3,1,2811.43,3,Need Attention,1.4700495516378835,E0 Main Customer
12357,56.0,2,1,1,6207.67,4,At Risk,1.8293949975938104,E1 Sleepy Customer
12358,24.0,5,2,1,1168.06,2,New Customers,0.7840264275402045,E0 Main Customer
12359,80.0,2,4,2,6372.58,4,At Risk,2.613421425134015,E2 Asleep Customer
12360,75.0,2,3,1,2662.06,3,At Risk,2.450082586063139,E1 Sleepy Customer
12361,310.0,1,1,1,189.9,1,Lost,10.127008022394309,Sleeping Customer
12362,26.0,5,10,4,5226.23,4,Champions,0.8493619631685548,E0 Main Customer
12363,132.0,1,2,1,552.0,1,Lost,4.312145351471124,Sleeping Customer
12364,30.0,4,4,2,1313.1,2,New Customers,0.9800330344252556,E0 Main Customer
12365,314.0,1,2,1,641.38,1,Lost,10.257679093651008,Sleeping Customer
12367,27.0,4,1,1,168.9,1,New Customers,0.8820297309827301,New Customer
12370,74.0,2,4,2,3545.69,3,At Risk,2.4174148182489636,E1 Sleepy Customer
12371,67.0,2,2,1,1887.96,2,Lost,2.1887404435497375,E1 Sleepy Customer
12372,94.0,1,3,1,1298.04,2,Lost,3.0707701745324676,Sleeping Customer
12373,334.0,1,1,1,364.6,1,Lost,10.911034449934512,Sleeping Customer
12374,48.0,2,1,1,742.9300000000001,1,Lost,1.568052855080409,E1 Sleepy Customer
12375,33.0,4,2,1,457.5,1,New Customers,1.078036337867781,E0 Main Customer
12377,338.0,1,2,1,1628.12,2,Lost,11.041705521191213,Sleeping Customer
12378,152.0,1,1,1,4008.62,4,At Risk,4.965500707754629,Sleeping Customer
12379,104.0,1,2,1,852.24,1,Lost,3.3974478526742193,Sleeping Customer
12380,44.0,3,4,2,2724.81,3,Need Attention,1.4373817838237082,E0 Main Customer
12381,27.0,4,5,2,1845.31,2,New Customers,0.8820297309827301,E0 Main Customer
12383,207.0,1,5,2,1850.56,2,Lost,6.762227937534264,Sleeping Customer
12384,51.0,2,2,1,585.27,1,Lost,1.6660561585229345,E1 Sleepy Customer
12386,360.0,1,2,1,401.9,1,Lost,11.760396413103068,Sleeping Customer
12388,38.0,3,6,3,2780.66,3,Need Attention,1.2413751769386572,E0 Main Customer
12390,102.0,1,1,1,549.84,1,Lost,3.332112317045869,Sleeping Customer
12391,44.0,3,1,1,460.89,1,About To Sleep,1.4373817838237082,E0 Main Customer
12393,95.0,1,4,2,1582.6000000000001,2,Lost,3.103437942346643,Sleeping Customer
12394,86.0,1,2,1,1272.48,2,Lost,2.809428032019066,E2 Asleep Customer
12395,42.0,3,12,4,3018.63,3,Loyal Customers,1.372046248195358,E0 Main Customer
